index,1. open,2. high,3. low,4. close
2018-09-13 13:40:00,111.5400,111.5610,111.4900,111.5520
2018-09-13 13:45:00,111.5570,111.6350,111.5300,111.6100
2018-09-13 13:50:00,111.6200,111.6280,111.5400,111.6140
2018-09-13 13:55:00,111.6140,111.6160,111.5400,111.5950
2018-09-13 14:00:00,111.5920,111.6960,111.5700,111.6630
2018-09-13 14:05:00,111.6630,111.7560,111.6400,111.7450
2018-09-13 14:10:00,111.7440,111.8140,111.7100,111.7820
2018-09-13 14:15:00,111.7830,111.8290,111.6590,111.7660
2018-09-13 14:20:00,111.7680,111.8360,111.7400,111.8030
2018-09-13 14:25:00,111.8040,111.9000,111.7700,111.8240
2018-09-13 14:30:00,111.8200,111.9110,111.7800,111.9100
2018-09-13 14:35:00,111.9100,111.9160,111.8200,111.8600
2018-09-13 14:40:00,111.8610,111.8680,111.7800,111.8260
2018-09-13 14:45:00,111.8270,111.8760,111.7900,111.8460
2018-09-13 14:50:00,111.8460,111.8780,111.8000,111.8680
2018-09-13 14:55:00,111.8660,111.8780,111.8000,111.8400
2018-09-13 15:00:00,111.8490,111.8540,111.8000,111.8390
2018-09-13 15:05:00,111.8410,111.8700,111.8100,111.8580
2018-09-13 15:10:00,111.8540,111.8990,111.8200,111.8950
2018-09-13 15:15:00,111.8980,111.8990,111.8500,111.8830
2018-09-13 15:20:00,111.8870,111.9020,111.8400,111.8920
2018-09-13 15:25:00,111.8910,111.9060,111.8500,111.8980
2018-09-13 15:30:00,111.9010,111.9400,111.8700,111.9300
2018-09-13 15:35:00,111.9330,111.9510,111.9000,111.9360
2018-09-13 15:40:00,111.9370,111.9580,111.9000,111.9330
2018-09-13 15:45:00,111.9390,111.9440,111.8800,111.9200
2018-09-13 15:50:00,111.9240,111.9370,111.8900,111.9280
2018-09-13 15:55:00,111.9280,111.9420,111.8900,111.9260
2018-09-13 16:00:00,111.9220,111.9320,111.8600,111.8960
2018-09-13 16:05:00,111.8920,111.9240,111.8600,111.9080
2018-09-13 16:10:00,111.9030,111.9160,111.8700,111.9040
2018-09-13 16:15:00,111.8960,111.9160,111.8700,111.8960
2018-09-13 16:20:00,111.8890,111.9200,111.8600,111.9140
2018-09-13 16:25:00,111.9140,111.9210,111.8800,111.9130
2018-09-13 16:30:00,111.9130,111.9150,111.8600,111.8960
2018-09-13 16:35:00,111.8950,111.9010,111.8300,111.8700
2018-09-13 16:40:00,111.8700,111.8760,111.8300,111.8590
2018-09-13 16:45:00,111.8590,111.8760,111.8200,111.8550
2018-09-13 16:50:00,111.8550,111.8670,111.8100,111.8640
2018-09-13 16:55:00,111.8640,111.8680,111.8200,111.8570
2018-09-13 17:00:00,111.8570,111.8750,111.8300,111.8620
2018-09-13 17:05:00,111.8620,111.8770,111.8000,111.8440
2018-09-13 17:10:00,111.8420,111.8460,111.7900,111.8270
2018-09-13 17:15:00,111.8270,111.8320,111.7800,111.8270
2018-09-13 17:20:00,111.8260,111.8320,111.7800,111.8210
2018-09-13 17:25:00,111.8210,111.8320,111.7900,111.8280
2018-09-13 17:30:00,111.8280,111.8420,111.7900,111.8400
2018-09-13 17:35:00,111.8370,111.8410,111.7800,111.8150
2018-09-13 17:40:00,111.8150,111.8320,111.7700,111.7990
2018-09-13 17:45:00,111.7940,111.8290,111.7800,111.8210
2018-09-13 17:50:00,111.8210,111.8750,111.7900,111.8670
2018-09-13 17:55:00,111.8640,111.8840,111.8300,111.8600
2018-09-13 18:00:00,111.8660,111.9270,111.8400,111.9180
2018-09-13 18:05:00,111.9180,111.9210,111.8600,111.8930
2018-09-13 18:10:00,111.8930,111.9080,111.8600,111.9010
2018-09-13 18:15:00,111.9010,111.9040,111.8100,111.8450
2018-09-13 18:20:00,111.8430,111.8630,111.8000,111.8600
2018-09-13 18:25:00,111.8530,111.8620,111.8100,111.8480
2018-09-13 18:30:00,111.8480,111.8820,111.8200,111.8740
2018-09-13 18:35:00,111.8760,111.8890,111.8400,111.8860
2018-09-13 18:40:00,111.8870,111.8870,111.8300,111.8580
2018-09-13 18:45:00,111.8580,111.8680,111.8200,111.8640
2018-09-13 18:50:00,111.8640,111.8720,111.8400,111.8640
2018-09-13 18:55:00,111.8640,111.8840,111.8400,111.8790
2018-09-13 19:00:00,111.8780,111.9150,111.8500,111.9100
2018-09-13 19:05:00,111.9030,111.9260,111.8700,111.9260
